OID_,mem_point_LineOID,mem_point_Value,Movement_Merge_FID,Movement_Merge_Id,Movement_Merge_Length,Movement_Merge_Distance,Movement_Merge_UniID,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
1038,1037,0,1037,0,6,5.53528686425,1038,823656.0256,9891816.7657,6.4795308,2.9564295,1.589373,1,1796.60716222895
1039,1038,0,1038,0,7,7.21650161864,1039,823765.8589,9891920.9549,5.8140144,4.2921886,1.5230783,1,1663.60235706463
1040,1039,0,1039,0,4,4.40207658895,1040,823601.8902,9891748.4749,5.9076438,3.5345662,1.5925847,1,1866.53538021712
1041,1040,0,1040,0,7,6.50644694722,1041,823523.2396,9891838.6066,5.6407361,6.3158932,1.5664587,1,1919.25575623534
1042,1041,0,1041,0,5,5.4484628477,1042,823488.4375,9891750.0216,5.9979897,4.4218841,1.5913999,1,1975.74420519946
1043,1042,0,1042,0,5,4.9163796727,1043,823353.3534,9891719.7225,5.8371119,6.4249377,1.5849382,1,2114.07148593361
1044,1043,0,1043,0,7,6.82207020955,1044,823486.1367,9891695.1165,5.9979897,4.4218841,1.5875019,1,1992.25761082752
1045,1044,0,1044,0,7,7.38536514356,1045,823355.8232,9891663.8916,5.1617336,9.5260429,1.5893955,1,2126.1748542004
1046,1045,0,1045,0,8,7.58337437356,1046,823248.3382,9891668.9883,5.1250296,9.6077433,1.5813799,1,2228.62357108279
1047,1046,0,1046,0,10,9.95438847972,1047,823157.8818,9891747.5429,4.9993229,8.2891188,1.4685446,1,2295.73797802109
1048,1047,0,1047,0,6,5.51174283238,1048,823648.8616,9891656.0004,6.1573052,4.2202978,1.5021113,1,1847.55520269396
1049,1048,0,1048,0,6,5.92612129967,1049,823687.5135,9891598.6895,5.628037,7.6311183,1.4236828,1,1827.51626605225
1050,1049,0,1049,0,8,7.7591362028,1050,823604.2255,9891537.666,5.2096052,10.1436701,1.3297564,1,1925.09275092931
1051,1050,0,1050,0,7,7.17283481802,1051,823789.6574,9891639.2085,5.628037,7.6311183,1.4617015,1,1717.96674677315
1052,1051,0,1051,0,10,10.3971105304,1052,823814.408,9891569.1901,5.2891583,9.6940861,1.2459327,1,1715.26826841527
1053,1052,0,1052,0,9,9.27336160332,1053,823798.9066,9891484.354,5.3120675,8.2563877,0.7869008,1,1758.17079594357
1054,1053,0,1053,0,8,7.80774057105,1054,823715.7083,9891465.6236,5.3546305,7.1721301,0.9309037,1,1842.65628560844
1055,1054,0,1054,0,10,9.56375973879,1055,823593.384,9891446.4531,5.2096052,10.1436701,1.0335841,1,1964.17213068608
1056,1055,0,1055,0,8,8.3441038791,1056,823622.7716,9891404.8719,5.3541937,10.4399614,0.7782481,1,1951.06851782158
1057,1056,0,1056,0,5,4.77403686429,1057,823474.051,9891392.0447,6.0938559,8.6652393,1.0690522,1,2094.87565501956
1058,1057,0,1057,0,8,7.85077077731,1058,823419.2403,9891461.7731,5.8600354,6.9234834,1.3353735,1,2124.31324485512
1059,1058,0,1058,0,7,6.90442939514,1059,823392.7886,9891404.4398,5.7725811,5.7758861,1.1731266,1,2167.40667145197
1060,1059,0,1059,0,8,8.20931742971,1060,823494.037,9891329.9309,6.0938559,8.6652393,0.743285,1,2098.2672605688
1061,1060,0,1060,0,8,8.34409181557,1061,823486.1936,9891272.4234,5.1690207,10.53825,0.6631275,1,2127.42336222516
